_id,fields[0].question,fields[1].question,fields[2].question,fields[3].question,fields[4].question,fields[5].question,fields[6].question,fields[7].question,fields[8].question,fields[9].question,fields[10].question,fields[11].question,fields[12].question,fields[13].question,fields[0].questionType,fields[1].questionType,fields[2].questionType,fields[3].questionType,fields[4].questionType,fields[5].questionType,fields[6].questionType,fields[7].questionType,fields[8].questionType,fields[9].questionType,fields[10].questionType,fields[11].questionType,fields[12].questionType,fields[13].questionType,fields[0].options[0],fields[0].options[1],fields[0].options[2],fields[0].options[3],fields[2].options[0],fields[2].options[1],fields[2].options[2],fields[2].options[3],fields[1].options[0],fields[1].options[1],fields[1].options[2],fields[1].options[3],fields[4].options[0],fields[4].options[1],fields[4].options[2],fields[4].options[3],fields[3].options[0],fields[3].options[1],fields[3].options[2],fields[3].options[3],fields[7].options[0],fields[7].options[1],fields[7].options[2],fields[7].options[3],fields[8].options[0],fields[8].options[1],fields[8].options[2],fields[8].options[3],fields[9].options[0],fields[9].options[1],fields[9].options[2],fields[9].options[3],fields[13].options[0],fields[13].options[1],fields[13].options[2],fields[13].options[3],fields[5].options[0],fields[5].options[1],fields[0]._id,fields[1]._id,fields[2]._id,fields[3]._id,fields[4]._id,fields[5]._id,fields[6]._id,fields[7]._id,fields[8]._id,fields[9]._id,fields[10]._id,fields[11]._id,fields[12]._id,fields[13]._id,authorityId,createdAt,__v
654f9a2dcdada04a6176e7fb,question1,question2,question3,,,,,,,,,,,,multiple choice,open ended,multiple choice,,,,,,,,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654f9a2dcdada04a6176e7fc,654f9a2dcdada04a6176e7fd,654f9a2dcdada04a6176e7fe,,,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:13:49.639Z,0
654f9dd7cdada04a6176e805,question1,question1eew,question2,question2,question3,,,,,,,,,,multiple choice,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654f9dd7cdada04a6176e806,654f9dd7cdada04a6176e807,654f9dd7cdada04a6176e808,654f9dd7cdada04a6176e809,654f9dd7cdada04a6176e80a,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:29:27.505Z,0
654fa042cdada04a6176e886,question100,question1eew,question2,question2,question3,,,,,,,,,,brief answer,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654fa042cdada04a6176e887,654fa042cdada04a6176e888,654fa042cdada04a6176e889,654fa042cdada04a6176e88a,654fa042cdada04a6176e88b,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:39:46.526Z,0
654fa05dcdada04a6176e89c,question100,what department bad,question2,question2,question3,,,,,,,,,,brief answer,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654fa05dcdada04a6176e89d,654fa05dcdada04a6176e89e,654fa05dcdada04a6176e89f,654fa05dcdada04a6176e8a0,654fa05dcdada04a6176e8a1,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:40:13.925Z,0
654fa073cdada04a6176e8b2,question100,what department bad,question2,question2,question3,,,,,,,,,,brief answer,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,dep21,op2,dep32,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654fa073cdada04a6176e8b3,654fa073cdada04a6176e8b4,654fa073cdada04a6176e8b5,654fa073cdada04a6176e8b6,654fa073cdada04a6176e8b7,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:40:35.805Z,0
65618468b29b85897074fb88,question100,what department bad,question2,question2,question3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65618468b29b85897074fb89,65618468b29b85897074fb8a,65618468b29b85897074fb8b,65618468b29b85897074fb8c,65618468b29b85897074fb8d,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:21:44.641Z,0
656185dece58607d03afb6ee,question00,question01,,,,,,,,,,,,,,,,,,,,,,,,,,,option1,option2,option3,,,,,,option01,option02,option03,,,,,,,,,,,,,,,,,,,,,,,,,,,,656185dece58607d03afb6ef,656185dece58607d03afb6f0,,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:27:58.104Z,0
656187fc35f36be1588be41a,question11,,,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656187fc35f36be1588be41b,,,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:37:00.460Z,0
6561890e9bc4b71caf526164,question11,question11,,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,6561890e9bc4b71caf526165,6561890e9bc4b71caf526166,,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:41:34.701Z,0
656189849bc4b71caf526174,question11,question11,question11,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,656189849bc4b71caf526175,656189849bc4b71caf526176,656189849bc4b71caf526177,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:43:32.903Z,0
656189f66c6acc3fe4dad2a5,question11,question12,question13,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656189f66c6acc3fe4dad2a6,656189f66c6acc3fe4dad2a7,656189f66c6acc3fe4dad2a8,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:45:26.049Z,0
65618a656c6acc3fe4dad2b1,question11,question12,question13,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65618a656c6acc3fe4dad2b2,65618a656c6acc3fe4dad2b3,65618a656c6acc3fe4dad2b4,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:47:17.719Z,0
65618d6ad8434f83124fc2df,question11,question12,question13,,,,,,,,,,,,MCQ,Short answer,MCQ,,,,,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65618d6ad8434f83124fc2e0,65618d6ad8434f83124fc2e1,65618d6ad8434f83124fc2e2,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T06:00:10.951Z,0
6561ac756f9aab46698ff7f7,question11,question12,question13,question14,,,,,,,,,,,MCQ,Short answer,MCQ,MCQ,,,,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,6561ac756f9aab46698ff7f8,6561ac756f9aab46698ff7f9,6561ac756f9aab46698ff7fa,6561ac756f9aab46698ff7fb,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T08:12:37.133Z,0
6561bb1ea5ae32d0910e4903,question11,question12,question13,question14,HI,,,,,,,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,,,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,6561bb1ea5ae32d0910e4904,6561bb1ea5ae32d0910e4905,6561bb1ea5ae32d0910e4906,6561bb1ea5ae32d0910e4907,6561bb1ea5ae32d0910e4908,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T09:15:10.084Z,0
6561bb89a5ae32d0910e4911,question11,question12,question13,question14,HI,Hello,,,,,,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,6561bb89a5ae32d0910e4912,6561bb89a5ae32d0910e4913,6561bb89a5ae32d0910e4914,6561bb89a5ae32d0910e4915,6561bb89a5ae32d0910e4916,6561bb89a5ae32d0910e4917,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T09:16:57.915Z,0
6561be74a95659d47bf9afea,question11,question12,question13,question14,HI,Hello,Hello,,,,,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,,,,,,,,,,,,,,,,,,,6561be74a95659d47bf9afeb,6561be74a95659d47bf9afec,6561be74a95659d47bf9afed,6561be74a95659d47bf9afee,6561be74a95659d47bf9afef,6561be74a95659d47bf9aff0,6561be74a95659d47bf9aff1,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T09:29:24.726Z,0
6561c0ab8f1e3e33a285e0bc,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,,,,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,,,,,,,,,,,,,,,6561c0ab8f1e3e33a285e0bd,6561c0ab8f1e3e33a285e0be,6561c0ab8f1e3e33a285e0bf,6561c0ab8f1e3e33a285e0c0,6561c0ab8f1e3e33a285e0c1,6561c0ab8f1e3e33a285e0c2,6561c0ab8f1e3e33a285e0c3,6561c0ab8f1e3e33a285e0c4,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T09:38:51.481Z,0
6561c27845f2e5193f1e6a32,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,How was ur experience,,,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,MCQ,,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,good,ok,better,bad,,,,,,,,,,,6561c27845f2e5193f1e6a33,6561c27845f2e5193f1e6a34,6561c27845f2e5193f1e6a35,6561c27845f2e5193f1e6a36,6561c27845f2e5193f1e6a37,6561c27845f2e5193f1e6a38,6561c27845f2e5193f1e6a39,6561c27845f2e5193f1e6a3a,6561c27845f2e5193f1e6a3b,,,,,,6539428fe0265e4af914c0f4,2023-11-25T09:46:32.884Z,0
6561c2d545f2e5193f1e6a3e,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,How was ur experience,were you offered to give a bribe?,,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,MCQ,MCQ,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,good,ok,better,bad,Yes,No,,,,,,,,,6561c2d545f2e5193f1e6a3f,6561c2d545f2e5193f1e6a40,6561c2d545f2e5193f1e6a41,6561c2d545f2e5193f1e6a42,6561c2d545f2e5193f1e6a43,6561c2d545f2e5193f1e6a44,6561c2d545f2e5193f1e6a45,6561c2d545f2e5193f1e6a46,6561c2d545f2e5193f1e6a47,6561c2d545f2e5193f1e6a48,,,,,6539428fe0265e4af914c0f4,2023-11-25T09:48:05.306Z,0
6561c62c45f2e5193f1e6a73,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,How was ur experience,were you offered to give a bribe?,How good did gujrat police served you?,,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,MCQ,MCQ,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,good,ok,better,bad,Yes,No,,,,,,,,,6561c62c45f2e5193f1e6a74,6561c62c45f2e5193f1e6a75,6561c62c45f2e5193f1e6a76,6561c62c45f2e5193f1e6a77,6561c62c45f2e5193f1e6a78,6561c62c45f2e5193f1e6a79,6561c62c45f2e5193f1e6a7a,6561c62c45f2e5193f1e6a7b,6561c62c45f2e5193f1e6a7c,6561c62c45f2e5193f1e6a7d,6561c62c45f2e5193f1e6a7e,,,,6539428fe0265e4af914c0f4,2023-11-25T10:02:20.615Z,0
6561cbab98629ad4f82adeab,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,How was ur experience,were you offered to give a bribe?,How good did gujrat police served you?,H12,,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,MCQ,MCQ,,,,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,good,ok,better,bad,Yes,No,,,,,,,,,6561cbab98629ad4f82adeac,6561cbab98629ad4f82adead,6561cbab98629ad4f82adeae,6561cbab98629ad4f82adeaf,6561cbab98629ad4f82adeb0,6561cbab98629ad4f82adeb1,6561cbab98629ad4f82adeb2,6561cbab98629ad4f82adeb3,6561cbab98629ad4f82adeb4,6561cbab98629ad4f82adeb5,6561cbab98629ad4f82adeb6,6561cbab98629ad4f82adeb7,,,6539428fe0265e4af914c0f4,2023-11-25T10:25:47.464Z,0
6561d03701fdcb2fb3ab93fc,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,How was ur experience,were you offered to give a bribe?,How good did gujrat police served you?,H12,short answer,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,MCQ,MCQ,,,Short Answer,,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,good,ok,better,bad,Yes,No,,,,,,,,,6561d03701fdcb2fb3ab93fd,6561d03701fdcb2fb3ab93fe,6561d03701fdcb2fb3ab93ff,6561d03701fdcb2fb3ab9400,6561d03701fdcb2fb3ab9401,6561d03701fdcb2fb3ab9402,6561d03701fdcb2fb3ab9403,6561d03701fdcb2fb3ab9404,6561d03701fdcb2fb3ab9405,6561d03701fdcb2fb3ab9406,6561d03701fdcb2fb3ab9407,6561d03701fdcb2fb3ab9408,6561d03701fdcb2fb3ab9409,,6539428fe0265e4af914c0f4,2023-11-25T10:45:11.086Z,0
6561d04e8f11f5581342a397,question11,question12,question13,question14,HI,Hello,Hello,How was ur experience,How was ur experience,were you offered to give a bribe?,How good did gujrat police served you?,H12,short answer,,MCQ,Short answer,MCQ,MCQ,Short Answer,Short Answer,Short Answer,MCQ,MCQ,MCQ,,,Short Answer,MCQ,op1,op2,op3,op4,op11,op12,op13,op14,,,,,,,,,op11,op12,op13,op14,good,ok,better,bad,good,ok,better,bad,Yes,No,,,,,,,,,6561d04e8f11f5581342a398,6561d04e8f11f5581342a399,6561d04e8f11f5581342a39a,6561d04e8f11f5581342a39b,6561d04e8f11f5581342a39c,6561d04e8f11f5581342a39d,6561d04e8f11f5581342a39e,6561d04e8f11f5581342a39f,6561d04e8f11f5581342a3a0,6561d04e8f11f5581342a3a1,6561d04e8f11f5581342a3a2,6561d04e8f11f5581342a3a3,6561d04e8f11f5581342a3a4,6561d04e8f11f5581342a3a5,6539428fe0265e4af914c0f4,2023-11-25T10:45:34.882Z,0
6561d22b9870a86558d83979,Were the officers on duty Alert?,Were the officers on duty kind and co-operative?(,Was the crowd handled in an efficient way?,Overall how much were you satisfied with the policing?,How was the response of the officer on duty?,Were you provided with information and support regarding the rights and needs of juveniles and their families?,What suggestions do you have for enhancing the effectiveness and impact of the unit?,,,,,,,,MCQ,MCQ,MCQ,MCQ,MCQ,Short answer,Short answer,,,,,,,,yes,no,,,yes,no,,,yes,no,,,Positive,Fairly good,Neutral,Needs improvement,Brilliant,Good,Bearable/Neutral,Needs improvement,,,,,,,,,,,,,,,,,,,6561d22b9870a86558d8397a,6561d22b9870a86558d8397b,6561d22b9870a86558d8397c,6561d22b9870a86558d8397d,6561d22b9870a86558d8397e,6561d22b9870a86558d8397f,6561d22b9870a86558d83980,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T10:53:31.531Z,0
6561d8dd66c64767dd37de61,Were the officers on duty kind and co-operative?(,Was the crowd handled in an efficient way?,Overall how much were you satisfied with the policing?,How was the response of the officer on duty?,Were you provided with information and support regarding the rights and needs of juveniles and their families?,What suggestions do you have for enhancing the effectiveness and impact of the unit?,,,,,,,,,MCQ,MCQ,MCQ,MCQ,Short answer,Short answer,,,,,,,,,yes,no,,,Brilliant,Good,Bearable/Neutral,Needs improvement,yes,no,,,,,,,Positive,Fairly good,Neutral,Needs improvement,,,,,,,,,,,,,,,,,,,6561d22b9870a86558d8397b,6561d22b9870a86558d8397c,6561d22b9870a86558d8397d,6561d22b9870a86558d8397e,6561d22b9870a86558d8397f,6561d22b9870a86558d83980,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T11:22:05.694Z,0
